0	1	2
492	482	493
483	484	494
483	494	493
484	485	495
484	495	494
485	496	495
489	497	486
487	486	498
486	497	498
488	487	499
487	498	499
497	489	500
490	500	489
500	490	501
490	491	501
492	502	491
501	491	502
493	503	492
502	492	503
493	494	504
503	493	504
494	495	505
494	505	504
496	506	507
495	496	507
495	507	505
507	506	508
506	509	508
500	510	497
498	497	511
497	510	511
499	498	512
498	511	512
510	500	513
501	513	500
513	501	514
502	514	501
503	515	502
514	502	515
504	516	503
515	503	516
504	505	517
516	504	517
507	508	518
505	507	518
505	518	517
518	508	519
509	520	521
508	509	521
508	521	519
522	520	523
522	521	520
523	524	522
524	523	525
513	526	510
511	510	527
510	526	527
512	511	528
511	527	528
526	513	529
514	529	513
529	514	530
515	530	514
516	531	515
530	515	531
517	532	516
531	516	532
518	519	533
517	518	533
532	517	533
534	533	519
521	522	535
535	519	521
519	535	534
522	524	536
536	535	522
537	536	524
538	525	539
525	538	524
537	524	538
540	538	539
540	539	541
529	542	526
527	526	543
526	542	543
528	527	544
527	543	544
542	529	545
530	545	529
545	530	546
531	546	530
547	531	532
546	531	547
533	534	548
548	532	533
547	532	548
548	534	549
536	550	535
535	550	534
549	534	550
551	536	537
551	550	536
552	551	537
540	553	538
538	553	537
552	537	553
540	541	554
540	554	553
545	555	542
543	542	556
542	555	556
544	543	557
543	556	557
555	545	558
546	558	545
558	546	559
547	559	546
549	560	548
560	547	548
560	559	547
561	560	549
562	549	550
561	549	562
551	563	550
563	562	550
552	564	551
564	563	551
552	553	565
552	565	564
566	553	554
553	566	565
558	567	555
556	555	568
555	567	568
557	556	569
556	568	569
567	558	570
559	570	558
571	570	559
560	571	559
561	571	560
561	562	572
561	572	571
573	562	563
562	573	572
564	574	563
574	573	563
575	564	565
564	575	574
576	565	566
565	576	575
577	567	570
568	567	578
567	577	578
569	568	579
568	578	579
570	580	577
571	580	570
571	572	580
573	581	572
581	580	572
582	573	574
573	582	581
575	583	574
582	574	583
584	575	576
575	584	583
577	580	585
578	577	586
585	586	577
579	578	587
586	587	578
588	585	580
581	588	580
582	589	581
589	588	581
583	590	582
589	582	590
584	591	583
590	583	591
592	585	588
593	586	585
592	593	585
587	586	594
593	594	586
588	589	595
592	588	595
590	596	589
596	595	589
591	597	590
596	590	597
592	598	593
592	595	598
594	593	599
599	593	598
595	596	600
600	598	595
597	601	596
600	596	601
602	598	600
599	598	603
602	603	598
600	601	604
602	600	604
604	605	602
602	605	603
